period,demand_MW,solar_MW,wind_MW,net_load_MW
2023-04-17 17:00:00,42749,6186,20434,16129
2023-04-17 18:00:00,43329,6410,20706,16213
2023-04-17 19:00:00,44326,6452,21108,16766
2023-04-17 20:00:00,45257,6282,22012,16963
2023-04-17 21:00:00,46481,6139,22679,17663
2023-04-17 22:00:00,47652,6042,22919,18691
2023-04-17 23:00:00,48398,5768,23055,19575
2023-04-18 00:00:00,48136,3479,24160,20497
2023-04-18 01:00:00,47441,1125,24365,21951
2023-04-18 02:00:00,47694,17,25114,22563
2023-04-18 03:00:00,46194,1,24890,21303
2023-04-18 04:00:00,43257,1,24137,19119
2023-04-18 05:00:00,40396,1,23612,16783
2023-04-18 06:00:00,38093,1,23241,14851
2023-04-18 07:00:00,36532,1,22676,13855
2023-04-18 08:00:00,35799,1,21981,13817
2023-04-18 09:00:00,35545,1,21555,13989
2023-04-18 10:00:00,35941,1,21729,14211
2023-04-18 11:00:00,37562,1,21724,15837
2023-04-18 12:00:00,40397,1,22036,18360
2023-04-18 13:00:00,41840,573,21625,19642
2023-04-18 14:00:00,42567,3254,19399,19914
2023-04-18 15:00:00,43367,4084,20191,19092
2023-04-18 16:00:00,44291,5213,20646,18432
2023-04-18 17:00:00,45153,6775,20240,18138
2023-04-18 18:00:00,45481,8721,18851,17909
2023-04-18 19:00:00,46381,9970,18322,18089
2023-04-18 20:00:00,47314,9918,18546,18850
2023-04-18 21:00:00,48274,8748,19769,19757
2023-04-18 22:00:00,48791,7912,20875,20004
2023-04-18 23:00:00,49420,6477,22097,20846
2023-04-19 00:00:00,49248,4534,23352,21362
2023-04-19 01:00:00,48664,1756,24157,22751
2023-04-19 02:00:00,48825,37,24671,24117
2023-04-19 03:00:00,47800,0,25228,22572
2023-04-19 04:00:00,45272,0,25274,19998
2023-04-19 05:00:00,42316,0,24636,17680
2023-04-19 06:00:00,39862,0,23839,16023
2023-04-19 07:00:00,38424,0,23374,15050
2023-04-19 08:00:00,37509,0,22943,14566
2023-04-19 09:00:00,37160,0,22722,14438
2023-04-19 10:00:00,37541,0,22011,15530
2023-04-19 11:00:00,38849,0,21602,17247
2023-04-19 12:00:00,41793,0,21549,20244
2023-04-19 13:00:00,42968,561,21143,21264
2023-04-19 14:00:00,44293,3528,20166,20599
2023-04-19 15:00:00,45686,4466,21061,20159
2023-04-19 16:00:00,46933,5263,21286,20384
2023-04-19 17:00:00,48156,7082,20326,20748
2023-04-19 18:00:00,49441,8834,19279,21328
2023-04-19 19:00:00,51062,9181,20106,21775
2023-04-19 20:00:00,52605,8981,21177,22447
2023-04-19 21:00:00,53694,8254,22277,23163
2023-04-19 22:00:00,54824,7363,23154,24307
2023-04-19 23:00:00,55263,6205,24151,24907
2023-04-20 00:00:00,54646,4577,24702,25367
2023-04-20 01:00:00,53378,1683,25067,26628
2023-04-20 02:00:00,53279,38,25667,27574
2023-04-20 03:00:00,51833,0,25770,26063
2023-04-20 04:00:00,48739,0,25139,23600
2023-04-20 05:00:00,45612,0,25066,20546
