period,respondent,respondent-name,type,type-name,value,value-units
2023-01-02T08,CISO,California Independent System Operator,D,Demand,23210,megawatthours
2023-01-02T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21546,megawatthours
2023-01-02T08,CISO,California Independent System Operator,NG,Net generation,15384,megawatthours
2023-01-02T08,CISO,California Independent System Operator,TI,Total interchange,-5674,megawatthours
2023-01-02T09,CISO,California Independent System Operator,D,Demand,21897,megawatthours
2023-01-02T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20933,megawatthours
2023-01-02T09,CISO,California Independent System Operator,NG,Net generation,15247,megawatthours
2023-01-02T09,CISO,California Independent System Operator,TI,Total interchange,-5337,megawatthours
2023-01-02T10,CISO,California Independent System Operator,D,Demand,21483,megawatthours
2023-01-02T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20257,megawatthours
2023-01-02T10,CISO,California Independent System Operator,NG,Net generation,14396,megawatthours
2023-01-02T10,CISO,California Independent System Operator,TI,Total interchange,-5459,megawatthours
2023-01-02T11,CISO,California Independent System Operator,D,Demand,20773,megawatthours
2023-01-02T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19707,megawatthours
2023-01-02T11,CISO,California Independent System Operator,NG,Net generation,13981,megawatthours
2023-01-02T11,CISO,California Independent System Operator,TI,Total interchange,-5348,megawatthours
2023-01-02T12,CISO,California Independent System Operator,D,Demand,20329,megawatthours
2023-01-02T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19456,megawatthours
2023-01-02T12,CISO,California Independent System Operator,NG,Net generation,14019,megawatthours
2023-01-02T12,CISO,California Independent System Operator,TI,Total interchange,-5270,megawatthours
2023-01-02T13,CISO,California Independent System Operator,D,Demand,20335,megawatthours
2023-01-02T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19490,megawatthours
2023-01-02T13,CISO,California Independent System Operator,NG,Net generation,14135,megawatthours
2023-01-02T13,CISO,California Independent System Operator,TI,Total interchange,-5302,megawatthours
2023-01-02T14,CISO,California Independent System Operator,D,Demand,20527,megawatthours
2023-01-02T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19892,megawatthours
2023-01-02T14,CISO,California Independent System Operator,NG,Net generation,15654,megawatthours
2023-01-02T14,CISO,California Independent System Operator,TI,Total interchange,-4746,megawatthours
2023-01-02T15,CISO,California Independent System Operator,D,Demand,21468,megawatthours
2023-01-02T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20574,megawatthours
2023-01-02T15,CISO,California Independent System Operator,NG,Net generation,16397,megawatthours
2023-01-02T15,CISO,California Independent System Operator,TI,Total interchange,-5281,megawatthours
2023-01-02T16,CISO,California Independent System Operator,D,Demand,22710,megawatthours
2023-01-02T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20768,megawatthours
2023-01-02T16,CISO,California Independent System Operator,NG,Net generation,17787,megawatthours
2023-01-02T16,CISO,California Independent System Operator,TI,Total interchange,-4391,megawatthours
2023-01-02T17,CISO,California Independent System Operator,D,Demand,23098,megawatthours
2023-01-02T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20639,megawatthours
2023-01-02T17,CISO,California Independent System Operator,NG,Net generation,19336,megawatthours
2023-01-02T17,CISO,California Independent System Operator,TI,Total interchange,-2975,megawatthours
2023-01-02T18,CISO,California Independent System Operator,D,Demand,22971,megawatthours
2023-01-02T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20442,megawatthours
2023-01-02T18,CISO,California Independent System Operator,NG,Net generation,19485,megawatthours
2023-01-02T18,CISO,California Independent System Operator,TI,Total interchange,-3672,megawatthours
2023-01-02T19,CISO,California Independent System Operator,D,Demand,23346,megawatthours
2023-01-02T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20378,megawatthours
2023-01-02T19,CISO,California Independent System Operator,NG,Net generation,19249,megawatthours
2023-01-02T19,CISO,California Independent System Operator,TI,Total interchange,-3898,megawatthours
2023-01-02T20,CISO,California Independent System Operator,D,Demand,23474,megawatthours
