period,day_ahead_forecast_MW,total_demand_MW,net_generation_MW,total_interchange_MW,gen_col_MW,gen_ng_MW,gen_nuc_MW,gen_oil_MW,gen_oth_MW,gen_sun_MW,gen_wat_MW,gen_wnd_MW,net_load_MW,renewable_ratio,price_USD_MWh,hour,day_of_week,month,day_of_year,is_weekend,week_of_year,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,netload_lag24h,demand_lag24h,netload_lag48h,demand_lag48h,netload_lag72h,demand_lag72h,netload_lag168h,demand_lag168h,solar_lag24h,solar_lag168h,wind_lag24h,wind_lag168h,yesterday_demand_mean,yesterday_demand_max,yesterday_demand_min,yesterday_demand_std,yesterday_netload_mean,yesterday_solar_mean,demand_trend_24h,netload_trend_24h,forecast_error_lag24h,price_lag24h
2023-01-09 23:00:00,25393.0,25551.0,20202.0,-5266.0,3.0,11819.0,2252.0,78.0,219.0,1905.0,2371.0,1555.0,22091.0,0.1354154436225588,200.815565719394,23,0,1,9,0,2,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.0,1.0,13194.0,20606.0,16464.0,21764.0,13170.0,22741.0,19669.0,25190.0,6262.0,3321.0,1150.0,2200.0,22102.125,25792.0,19891.0,1987.9462269103476,18756.416666666668,2187.75,-1158.0,-3270.0,-791.0,113.54025763874519
2023-01-10 00:00:00,25750.0,25506.0,20121.0,-5331.0,3.0,12619.0,2251.0,78.0,-37.0,1302.0,2609.0,1295.0,22909.0,0.10181917980083117,208.4984827522868,0,1,1,10,0,2,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,16517.0,21262.0,14347.0,22131.0,16955.0,23297.0,22080.0,25918.0,3606.0,1373.0,1139.0,2465.0,22065.916666666668,25792.0,19891.0,1995.2977965961825,18846.833333333332,2074.1666666666665,-869.0,2170.0,-431.0,61.19102760511998
2023-01-10 01:00:00,26454.0,25913.0,20657.0,-5671.0,3.0,12955.0,2251.0,78.0,658.0,216.0,2788.0,1708.0,23989.0,0.07424844672558176,226.09967771135706,1,1,1,10,0,2,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,20505.0,22023.0,21833.0,22930.0,22059.0,23581.0,23797.0,26121.0,473.0,79.0,1045.0,2245.0,22028.125,25792.0,19891.0,1986.7914993669203,18791.5,2078.5,-907.0,-1328.0,625.0,155.53843491648522
2023-01-10 02:00:00,28269.0,26785.0,21260.0,-6295.0,3.0,13048.0,2252.0,77.0,970.0,-39.0,3073.0,1877.0,24947.0,0.06862049654657458,239.54058157325565,2,1,1,10,0,2,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,22368.0,23346.0,23354.0,24079.0,24543.0,25216.0,24835.0,27310.0,-44.0,-18.0,1022.0,2493.0,21997.583333333332,25792.0,19891.0,1959.3382848535596,18750.416666666668,2078.9166666666665,-733.0,-986.0,1820.0,205.91561122958257
2023-01-10 03:00:00,28323.0,27985.0,21081.0,-6391.0,3.0,12872.0,2253.0,76.0,925.0,-41.0,2881.0,2113.0,25913.0,0.07403966410577095,255.54730128403577,3,1,1,10,0,2,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,24528.0,25549.0,24743.0,25792.0,26463.0,27226.0,26267.0,28567.0,-40.0,-17.0,1061.0,2317.0,21987.458333333332,25704.0,19891.0,1939.4043455607305,18741.458333333332,2079.2916666666665,-243.0,-215.0,-56.0,260.0249680687898
2023-01-10 04:00:00,27640.0,27911.0,20632.0,-6268.0,3.0,12390.0,2253.0,76.0,612.0,-41.0,3036.0,2303.0,25649.0,0.08104331625523988,258.33621175495387,4,1,1,10,0,2,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,24751.0,25784.0,24445.0,25704.0,26348.0,27141.0,25650.0,28396.0,-43.0,-17.0,1076.0,2763.0,21990.791666666668,25784.0,19891.0,1946.12694476621,18754.208333333332,2079.5416666666665,80.0,306.0,-725.0,261.7380303281754
2023-01-10 05:00:00,26614.0,27314.0,20164.0,-5960.0,3.0,12488.0,2253.0,76.0,264.0,-41.0,2901.0,2221.0,25134.0,0.07981255034048473,238.1640652967193,5,1,1,10,0,2,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,24379.0,25483.0,24082.0,25348.0,25919.0,26705.0,24762.0,27724.0,-44.0,-17.0,1148.0,2979.0,21996.416666666668,25784.0,19891.0,1956.420242858574,18766.583333333332,2079.75,135.0,297.0,-1099.0,255.6415481112554
2023-01-10 06:00:00,25459.0,26570.0,19638.0,-5647.0,3.0,12182.0,2253.0,74.0,-234.0,-42.0,2892.0,2510.0,24102.0,0.09288671433948062,230.5422740937484,6,1,1,10,0,2,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,23620.0,24865.0,23597.0,24889.0,25507.0,26243.0,23993.0,26872.0,-44.0,-17.0,1289.0,2896.0,21995.416666666668,25784.0,19891.0,1954.8829814120916,18767.541666666668,2079.9583333333335,-24.0,23.0,-1181.0,236.56519934899805
2023-01-10 07:00:00,23931.0,25712.0,18948.0,-4798.0,3.0,11295.0,2252.0,75.0,-201.0,-43.0,2816.0,2750.0,23005.0,0.10528158058494089,207.40042634994634,7,1,1,10,0,2,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,22452.0,23825.0,22968.0,24303.0,24749.0,25581.0,23439.0,26019.0,-45.0,-17.0,1418.0,2597.0,21975.5,25784.0,19891.0,1932.6594202763054,18746.041666666668,2080.125,-478.0,-516.0,-1335.0,204.04666107155396
2023-01-10 08:00:00,22503.0,24208.0,17640.0,-4606.0,3.0,10486.0,2253.0,75.0,-299.0,-42.0,2509.0,2655.0,21595.0,0.10793952412425645,189.94279971679018,8,1,1,10,0,2,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,20959.0,22573.0,22252.0,23633.0,23513.0,24342.0,22332.0,24535.0,-44.0,-17.0,1658.0,2220.0,21931.333333333332,25784.0,19891.0,1905.048776430632,18692.166666666668,2080.3333333333335,-1060.0,-1293.0,-1313.0,171.58823470163767
